x-axis,1,2,3
second,Volt,Volt,Volt
-264.52800E-06,+3.47646454E-03,-799.99998E-06,-98.32624E-06
-264.51200E-06,+3.38755240E-03,-515.48116E-06,-98.32624E-06
-264.49600E-06,+3.22018838E-03,-620.08366E-06,-98.32624E-06
-264.48000E-06,+3.14173650E-03,-649.37237E-06,+257.32230E-06
-264.46400E-06,+3.23064863E-03,-256.06693E-06,+215.48130E-06
-264.44800E-06,+3.30910052E-03,-699.58157E-06,-453.97479E-06
-264.43200E-06,+3.30910052E-03,-846.02508E-06,-412.13378E-06
-264.41600E-06,+3.22018838E-03,-532.21756E-06,+257.32230E-06
-264.40000E-06,+3.14173650E-03,-816.73638E-06,+215.48130E-06
-264.38400E-06,+2.96391222E-03,-925.52299E-06,-98.32624E-06
-264.36800E-06,+2.80700845E-03,-1.08451880E-03,+257.32230E-06
-264.35200E-06,+2.71809632E-03,-1.05104600E-03,+215.48130E-06
-264.33600E-06,+2.63964443E-03,-799.99998E-06,+257.32230E-06
-264.32000E-06,+2.81746870E-03,-942.25939E-06,+571.12984E-06
-264.30400E-06,+2.61872393E-03,-925.52299E-06,+571.12984E-06
-264.28800E-06,+2.39382852E-03,-1.15564851E-03,+215.48130E-06
-264.27200E-06,+2.47228041E-03,-1.04267780E-03,+257.32230E-06
-264.25600E-06,+2.47228041E-03,-1.09288700E-03,+571.12984E-06
-264.24000E-06,+2.47228041E-03,-971.54810E-06,+215.48130E-06
-264.22400E-06,+2.29445614E-03,-461.08785E-06,-98.32624E-06
-264.20800E-06,+2.40428877E-03,-896.23429E-06,-98.32624E-06
-264.19200E-06,+2.63964443E-03,-1.05104600E-03,-98.32624E-06
-264.17600E-06,+2.55073229E-03,-657.74057E-06,-98.32624E-06
-264.16000E-06,+2.38336827E-03,-1.03012550E-03,-98.32624E-06
-264.14400E-06,+2.30491639E-03,-1.04267780E-03,+257.32230E-06
-264.12800E-06,+2.39382852E-03,-666.10877E-06,+215.48130E-06
-264.11200E-06,+2.38336827E-03,-310.46024E-06,+257.32230E-06
-264.09600E-06,+2.12709211E-03,-494.56065E-06,+571.12984E-06
-264.08000E-06,+2.05910048E-03,-1.00502090E-03,+215.48130E-06
-264.06400E-06,+2.22646450E-03,-569.87446E-06,-98.32624E-06
-264.04800E-06,+2.21600425E-03,-486.19245E-06,+257.32230E-06
